"","SL","BRC1_2","CK","Aux","ABA","PIN1_3_4_7","Aux_Bud","SUC","GA","Decap_signal","CXE","SMXL6_7_8","FHY3_FAR1","SPL9_15","MAX2","D14","D27","MAX3","MAX4","MAX1","LBO","CLAMT","PhyB","PIFs","HB21_40_53","NCED3"
"Ind1",-11.9651510519584,-11.9651510519584,-11.9651510519584,-11.9651510519584,-11.9651510519584,-11.9651510519584,-11.9651510519584,-11.9651510519584,-11.9651510519584,-11.9651510519584,-11.9651510519584,-11.9651510519584,-11.9651510519584,-11.9651510519584,-11.9651510519584,-11.9651510519584,-11.9651510519584,-11.9651510519584,-11.9651510519584,-11.9651510519584,-11.9651510519584,-11.9651510519584,-11.9651510519584,-11.9651510519584,-11.9651510519584,-11.9651510519584
"Ind2",-10.2317162515433,-10.2317162515433,-10.2317162515433,-10.2317162515433,-10.2317162515433,-10.2317162515433,-10.2317162515433,-10.2317162515433,-10.2317162515433,-10.2317162515433,-10.2317162515433,-10.2317162515433,-10.2317162515433,-10.2317162515433,-10.2317162515433,-10.2317162515433,-10.2317162515433,-10.2317162515433,-10.2317162515433,-10.2317162515433,-10.2317162515433,-10.2317162515433,-10.2317162515433,-10.2317162515433,-10.2317162515433,-10.2317162515433
"Ind3",18.1952943409754,18.1952943409754,18.1952943409754,18.1952943409754,18.1952943409754,18.1952943409754,18.1952943409754,18.1952943409754,18.1952943409754,18.1952943409754,18.1952943409754,18.1952943409754,18.1952943409754,18.1952943409754,18.1952943409754,18.1952943409754,18.1952943409754,18.1952943409754,18.1952943409754,18.1952943409754,18.1952943409754,18.1952943409754,18.1952943409754,18.1952943409754,18.1952943409754,18.1952943409754
"Ind4",2.28927964657536,2.28927964657536,2.28927964657536,2.28927964657536,2.28927964657536,2.28927964657536,2.28927964657536,2.28927964657536,2.28927964657536,2.28927964657536,2.28927964657536,2.28927964657536,2.28927964657536,2.28927964657536,2.28927964657536,2.28927964657536,2.28927964657536,2.28927964657536,2.28927964657536,2.28927964657536,2.28927964657536,2.28927964657536,2.28927964657536,2.28927964657536,2.28927964657536,2.28927964657536
"Ind5",-3.05751474314308,-3.05751474314308,-3.05751474314308,-3.05751474314308,-3.05751474314308,-3.05751474314308,-3.05751474314308,-3.05751474314308,-3.05751474314308,-3.05751474314308,-3.05751474314308,-3.05751474314308,-3.05751474314308,-3.05751474314308,-3.05751474314308,-3.05751474314308,-3.05751474314308,-3.05751474314308,-3.05751474314308,-3.05751474314308,-3.05751474314308,-3.05751474314308,-3.05751474314308,-3.05751474314308,-3.05751474314308,-3.05751474314308
"Ind6",11.2992411797939,11.2992411797939,11.2992411797939,11.2992411797939,11.2992411797939,11.2992411797939,11.2992411797939,11.2992411797939,11.2992411797939,11.2992411797939,11.2992411797939,11.2992411797939,11.2992411797939,11.2992411797939,11.2992411797939,11.2992411797939,11.2992411797939,11.2992411797939,11.2992411797939,11.2992411797939,11.2992411797939,11.2992411797939,11.2992411797939,11.2992411797939,11.2992411797939,11.2992411797939
"Ind7",13.4171130384195,13.4171130384195,13.4171130384195,13.4171130384195,13.4171130384195,13.4171130384195,13.4171130384195,13.4171130384195,13.4171130384195,13.4171130384195,13.4171130384195,13.4171130384195,13.4171130384195,13.4171130384195,13.4171130384195,13.4171130384195,13.4171130384195,13.4171130384195,13.4171130384195,13.4171130384195,13.4171130384195,13.4171130384195,13.4171130384195,13.4171130384195,13.4171130384195,13.4171130384195
"Ind8",27.8933864908814,27.8933864908814,27.8933864908814,27.8933864908814,27.8933864908814,27.8933864908814,27.8933864908814,27.8933864908814,27.8933864908814,27.8933864908814,27.8933864908814,27.8933864908814,27.8933864908814,27.8933864908814,27.8933864908814,27.8933864908814,27.8933864908814,27.8933864908814,27.8933864908814,27.8933864908814,27.8933864908814,27.8933864908814,27.8933864908814,27.8933864908814,27.8933864908814,27.8933864908814
"Ind9",8.47660048748319,8.47660048748319,8.47660048748319,8.47660048748319,8.47660048748319,8.47660048748319,8.47660048748319,8.47660048748319,8.47660048748319,8.47660048748319,8.47660048748319,8.47660048748319,8.47660048748319,8.47660048748319,8.47660048748319,8.47660048748319,8.47660048748319,8.47660048748319,8.47660048748319,8.47660048748319,8.47660048748319,8.47660048748319,8.47660048748319,8.47660048748319,8.47660048748319,8.47660048748319
"Ind10",18.2022046294275,18.2022046294275,18.2022046294275,18.2022046294275,18.2022046294275,18.2022046294275,18.2022046294275,18.2022046294275,18.2022046294275,18.2022046294275,18.2022046294275,18.2022046294275,18.2022046294275,18.2022046294275,18.2022046294275,18.2022046294275,18.2022046294275,18.2022046294275,18.2022046294275,18.2022046294275,18.2022046294275,18.2022046294275,18.2022046294275,18.2022046294275,18.2022046294275,18.2022046294275
"Ind11",1.51593803174501,1.51593803174501,1.51593803174501,1.51593803174501,1.51593803174501,1.51593803174501,1.51593803174501,1.51593803174501,1.51593803174501,1.51593803174501,1.51593803174501,1.51593803174501,1.51593803174501,1.51593803174501,1.51593803174501,1.51593803174501,1.51593803174501,1.51593803174501,1.51593803174501,1.51593803174501,1.51593803174501,1.51593803174501,1.51593803174501,1.51593803174501,1.51593803174501,1.51593803174501
"Ind12",-24.6709856300573,-24.6709856300573,-24.6709856300573,-24.6709856300573,-24.6709856300573,-24.6709856300573,-24.6709856300573,-24.6709856300573,-24.6709856300573,-24.6709856300573,-24.6709856300573,-24.6709856300573,-24.6709856300573,-24.6709856300573,-24.6709856300573,-24.6709856300573,-24.6709856300573,-24.6709856300573,-24.6709856300573,-24.6709856300573,-24.6709856300573,-24.6709856300573,-24.6709856300573,-24.6709856300573,-24.6709856300573,-24.6709856300573
"Ind13",-9.91520181492057,-9.91520181492057,-9.91520181492057,-9.91520181492057,-9.91520181492057,-9.91520181492057,-9.91520181492057,-9.91520181492057,-9.91520181492057,-9.91520181492057,-9.91520181492057,-9.91520181492057,-9.91520181492057,-9.91520181492057,-9.91520181492057,-9.91520181492057,-9.91520181492057,-9.91520181492057,-9.91520181492057,-9.91520181492057,-9.91520181492057,-9.91520181492057,-9.91520181492057,-9.91520181492057,-9.91520181492057,-9.91520181492057
"Ind14",8.03809282777452,8.03809282777452,8.03809282777452,8.03809282777452,8.03809282777452,8.03809282777452,8.03809282777452,8.03809282777452,8.03809282777452,8.03809282777452,8.03809282777452,8.03809282777452,8.03809282777452,8.03809282777452,8.03809282777452,8.03809282777452,8.03809282777452,8.03809282777452,8.03809282777452,8.03809282777452,8.03809282777452,8.03809282777452,8.03809282777452,8.03809282777452,8.03809282777452,8.03809282777452
